Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Jonas, Aiginger, 1967-05-27 14:56:42.161);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Isabell, Aiger, 1969-04-21 04:52:08.484);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Celine, Aner, 1976-08-13 22:30:34.48);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Laura, Abek, 1980-06-22 19:49:53.11);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Romy, Abele, 1972-11-22 17:53:47.281);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Leonard, Abek, 1989-12-22 23:15:22.929);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Max, Alvarez, 1983-04-08 00:17:03.872);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Melina, Aiginger, 1979-12-19 01:35:23.924);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Liam, Aiginger, 1941-11-29 01:31:02.864);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Kim, Anthonys, 1989-03-31 22:12:34.182);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Leo, Aner, 1960-09-01 06:44:52.912);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Magdalena, Antholzner, 1959-04-25 04:26:59.48);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Finja, Altzinger, 1959-11-17 15:36:09.074);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Noah, Abele, 1972-05-10 18:29:09.883);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Clara, Aner, 1955-08-28 11:18:48.02);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Theo, Abek, 1974-12-18 02:12:42.607);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Jolina, Abele, 1965-07-16 22:35:03.504);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Moritz, Abele, 1983-01-04 20:41:04.592);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Timo, Aiger, 1949-03-28 03:58:36.118);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Lukas, Assolino, 1987-01-31 18:22:55.508);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Helene, Altzinger, 1988-01-10 04:27:52.529);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Jannis, Abel, 1985-04-21 16:05:18.545);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Larissa, Anthonys, 1947-06-10 22:09:05.216);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Leila, Anthonys, 1959-11-25 09:16:52.765);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Katharina, Assolino, 1976-09-19 13:13:01.279);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Melina, Antholzner, 1979-11-01 12:08:20.44);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Leila, Assolino, 1942-05-02 03:15:22.202);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Ronja, Aiger, 1959-12-14 23:01:20.21);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Valentin, Abek, 1956-02-11 17:11:40.741);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Maria, Aiginger, 1965-04-21 01:02:26.194);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Laura, Anthonys, 1953-01-06 14:52:35.911);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Lotta, Abel, 1980-08-10 17:48:13.375);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Franziska, Antholzner, 1954-05-14 17:33:26.739);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Mohammed, Assolino, 1980-04-09 06:32:20.04);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Angelina, Aner, 1976-12-10 14:28:49.547);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Rafael, Altzinger, 1954-06-20 10:49:16.333);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Emilia, Aner, 1941-04-28 15:05:01.058);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Kilian, Assolino, 1965-10-06 03:42:29.651);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Josephine, Antholzner, 1947-09-27 17:43:28.546);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Jayden, Aiger, 1956-08-31 21:58:53.555);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Noah, Aiginger, 1969-01-09 10:36:14.682);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Eva, Antholzner, 1978-05-25 14:11:52.043);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Jette, Antholzner, 1956-12-20 21:03:15.66);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Justus, Antholzner, 1951-02-05 15:57:36.0);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Angelina, Alvarez, 1985-04-14 05:37:14.837);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Angelina, Alvarez, 1955-05-22 16:50:44.15);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Hannah, Alvarez, 1953-09-12 13:25:51.95);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Marlene, Anthonys, 1988-06-15 14:35:54.605);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Ida, Abek, 1988-11-07 03:33:36.966);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Elena, Aiginger, 1987-05-16 16:26:49.478);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Henry, Aner, 1987-07-15 06:58:22.854);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Lotta, Abel, 1979-09-28 15:25:02.205);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Max, Antholzner, 1962-11-12 01:01:23.368);
Insert into Users (USER_NAME, USER_LASTNAME, BIRTHDAY) VALUES (Jakob, Abele, 1942-04-10 16:59:15.528);
